Wavelength,Toluene,EtOH,DMF,ACN,MeOH,Hexanes,Acetone
227,-0.756574561,0.57817414,-0.405895367,0.934125517,0.819526411,0.955635357,-2.670484353
226,-0.710883609,0.609477068,-0.079048232,1.102494922,0.971656501,1.120283831,-2.500278186
225,-0.638332594,0.624537504,-0.155804395,1.337341432,1.192414127,1.359354897,-2.415417576
224,-0.555128413,0.612924627,-0.347215688,1.675760802,1.523660783,1.707580269,-2.209499224
223,-0.4634657,0.518153503,-0.179977492,2.106939959,1.963183002,2.155036655,-1.991805062
222,-0.415244731,0.215547429,-0.313814528,2.465384685,2.372032612,2.546585258,-1.783838255
221,-0.389088111,-0.229520219,-0.332141954,2.547053143,2.562955594,2.697901733,-1.71889471
220,-0.37473832,-0.362124714,-0.104180793,2.363028795,2.57156861,2.654579642,-1.697813745
219,-0.351779154,-0.269253175,-0.188264345,2.001143408,2.512927293,2.505230841,-1.749984343
218,-0.445752548,-0.195213196,0.022320354,1.483398179,2.462788682,2.272725125,-1.893488496
217,-0.383363788,-0.158366356,-0.334452186,0.871624775,2.424383346,1.996786536,-1.681728
216,-0.293920576,-0.103961285,-0.310344582,0.402756225,2.379374824,1.77281138,-1.835801085
215,-0.325303422,-0.021210086,-0.244155298,0.047368321,2.315040034,1.593678422,-1.875309168
214,-0.388744613,0.071475749,0.14567971,-0.292918677,2.236402517,1.382371132,-1.703258276
213,-0.311729353,0.177646448,0.187259373,-0.542457558,2.138868244,1.079899386,-1.662571737
212,-0.296877329,0.251194383,-0.025445457,-0.630922613,2.03310909,0.782625322,-1.648476448
211,-0.391478758,0.298692118,10,-0.658562374,1.930862964,0.614182747,-1.665590144
210,-0.304650341,0.330427183,-0.173330097,-0.66892706,1.835453503,0.492563374,-1.652448987
209,-0.255143534,0.349860858,0.495366804,-0.655002247,1.743795675,0.377731058,-1.513489326
208,-0.25735926,0.356686162,0.106048024,-0.645077962,1.647115085,0.304410755,-1.417914273
207,-0.254570878,0.354991106,0.25672723,-0.638702376,1.557156603,0.292762264,-1.3779966
206,-0.25552064,0.345969696,0.078435666,-0.607702609,1.464203646,0.280588256,-1.347989292
205,-0.197167875,0.332159957,0.371869842,-0.624777107,1.358905035,0.290477602,-1.238089846
204,-0.21325641,0.302333367,0.376830299,-0.597913702,1.246218743,0.325025707,-1.305229371
203,-0.269700594,0.246763434,0.265608354,-0.591149807,1.130570021,0.3620201,-1.130169601
202,-0.250302009,0.165861121,0.551696914,-0.521701805,0.990363573,0.344967048,-0.989567954
201,-0.054968762,0.035437712,0.372971957,-0.459907582,0.792269745,0.360915771,-1.015587118
200,-0.134839636,-0.195184527,0.073089578,-0.381066982,0.473388818,0.309895473,-0.855313901
